Date,Hike,State,abr,Park,Distance,Elevation_Gain,Lat,Lon,Url
2015-05-16,Indian Seats Trail Loop,Georgia,Ga,Sawnee Mountain Preserve,3.1,436,34.250514,-84.134516,https://www.alltrails.com/trail/us/georgia/indian-seats-trail-loop
2016-03-11,Rainbow Falls Trail,Tennessee,Tn,Great Smokey Mountain National Park,5.5,1653,35.676074,-83.484193,https://www.alltrails.com/trail/us/tennessee/rainbow-falls-trail
2016-03-11,Laurel Falls Trail,Tennessee,Tn,Great Smokey Mountain National Park,2.6,396,35.672442,-83.579348,https://www.alltrails.com/trail/us/tennessee/laurel-falls--2
2016-03-12,Trillium Gap Trail to Grotto Falls,Tennessee,Tn,Great Smokey Mountain National Park,6.8,1243,35.677446,-83.485312,https://www.alltrails.com/trail/us/tennessee/trillium-gap-trail-to-grotto-falls
2017-01-04,Yonah Mountain Trail,Georgia,Ga,White County Park,4.2,1450,34.637745,-83.725352,https://www.alltrails.com/trail/us/georgia/mount-yonah-trail
2017-05-19,Clingmans Dome Observation Tower,Tennessee,Tn,Great Smokey Mountain National Park,1.2,331,35.560417,-83.489591,https://www.alltrails.com/trail/us/north-carolina/clingmans-dome-observation-tower-trail
2017-05-20,Clingmans Dome to Fourney Ridge,Tennessee,Tn,Great Smokey Mountain National Park,4.5,1102,35.513671,-83.520664,https://www.alltrails.com/trail/us/north-carolina/forney-ridge-trail-to-clingmans-dome-loop
2017-07-23,Peachtree Rock,South Carolina,Sc,Peachtree Rock Heritage Preserve,2.4,203,33.834167,-81.191551,https://www.alltrails.com/trail/us/south-carolina/peachtree-rock
2017-12-26,Blood Mountain and Freeman Loop Trail,Georgia,Ga,Vogel State Park,4.3,1463,34.742811,-83.923708,https://www.alltrails.com/trail/us/georgia/blood-mountain-and-freeman-loop-trail
2018-05-20,Half Dome Trail,California,Ca,Yosemite National Park,14.8,5164,37.746459,-119.534165,https://www.alltrails.com/trail/us/california/half-dome-trail
2018-05-21,Four Mile Trail,California,Ca,Yosemite National Park,9.6,3200,37.734414,-119.600105,https://www.nps.gov/yose/planyourvisit/fourmiletrail.htm
2018-05-22,Cave Rock Trail,Nevada,Nv,Toiyabe National Forest,0.8,137,39.047055,-119.947092,https://www.alltrails.com/trail/us/nevada/cave-rock-trail
2018-05-22,Eagle Falls Vista Point Loop,California,Ca,Emerald Bay State Park,0.7,150,38.952366,-120.112789,https://www.alltrails.com/trail/us/california/eagle-falls-vista-point-loop
2018-05-23,Sentinel Dome and Taft Point Loop,California,Ca,Yosemite National Park,5.1,1122,37.712453,-119.603766,https://www.alltrails.com/trail/us/california/sentinel-dome-and-taft-point-loop
2018-05-24,Clouds Rest Via Tenaya Lake,California,Ca,Yosemite National Park,12.3,3113,37.76951,-119.489196,https://www.alltrails.com/trail/us/california/clouds-rest-trail-via-tenaya-lake
2018-05-25,Cathedral Lakes,California,Ca,Yosemite National Park,8.6,1551,37.844264,-119.422221,https://www.alltrails.com/trail/us/california/cathedral-lake-trail
2018-05-26,Lower Yosemite Falls,California,Ca,Yosemite National Park,1,52,37.74973,-119.595736,https://www.alltrails.com/trail/us/california/lower-yosemite-falls-trail
2018-05-26,Mirror Lake,California,Ca,Yosemite National Park,1.6,98,37.747841,-119.549598,https://www.alltrails.com/trail/us/california/mirror-lake-paved-trail
2018-05-26,Upper Yosemite Falls Trail,California,Ca,Yosemite National Park,7.2,3175,37.756934,-119.597338,https://www.alltrails.com/trail/us/california/upper-yosemite-falls-trail
2018-09-02,Old Rag Mountain Loop,Virginia,Va,Shenandoah National Park,10,2480,38.557174,-78.333416,https://www.alltrails.com/trail/us/virginia/skyline-to-old-rag-mountain-loop
2018-11-25,Bear Hair Gap Trail,Georgia,Ga,Vogel State Park,4.1,928,34.759709,-83.933741,https://www.alltrails.com/trail/us/georgia/bear-hair-gap-trail
2019-05-14,Calico Tanks Trail,Nevada,Nv,Red Rock Canyon State Park,2.2,406,36.161158,-115.438629,https://www.alltrails.com/trail/us/nevada/calico-tanks-trail
2019-05-15,Subway Trail,Utah,Ut,Zion National Park,9.1,1305,37.30926,-113.051923,https://www.alltrails.com/trail/us/utah/the-subway-trail
